Institution,CatalogNo,Sex,Age,Year,Month,Day,Long,Lat,Coordinate.Uncertainty.M,Coordinate.Precision.M,Genus,Species,Mass.g
KU,90203,Male,Unknown,1999,9,22,-59.265,-19.5866667,,,Piculus,chrysochloros,57
KU,90206,Male,Unknown,1999,10,7,-58.2666667,-20.0983333,,,Celeus,lugubris,95.5
KU,90208,Male,Unknown,1999,9,29,-58.1466667,-20.0983333,,,Melanerpes,cactorum,42
KU,90215,Male,Unknown,1999,9,20,-59.265,-19.5866667,,,Veniliornis,passerinus,28.1
KU,90567,Male,Unknown,1996,11,23,16.1666667,48,,,Dendrocopos,major,72
KU,91387,Male,Unknown,2000,10,13,-55.8,-26.5166667,,,Colaptes,campestris,123
KU,91834,Male,Unknown,2001,6,8,-92.6933333,40.4833333,,,Melanerpes,erythrocephalus,76
KU,92974,Male,Unknown,1996,11,14,-55.5166667,-26.35,,,Picumnus,temminckii,9
KU,94382,Male,Unknown,2000,10,19,-55.5166667,-26.35,,,Picumnus,temminckii,11.3
KU,94383,Male,Unknown,2000,10,24,-55.5166667,-26.35,,,Colaptes,melanochloros,129
KU,94646,Male,Unknown,2002,3,22,-59.7333333,8.25,,,Veniliornis,cassini,40
KU,94818,Male,Unknown,2002,3,18,-59.7333333,8.25,,,Celeus,elegans,150
KU,95148,Male,Unknown,2003,3,24,-71.6766667,18.6916667,,,Melanerpes,striatus,74.9
KU,96413,Male,Unknown,2005,4,17,107.88,21.84,,,Sasia,ochracea,8.8
KU,96414,Male,Unknown,2005,4,19,107.88,21.84,,,Sasia,ochracea,8.7
KU,96416,Male,Unknown,2005,4,29,107.88,21.84,,,Sasia,ochracea,9
KU,96812,Male,Unknown,2005,11,7,-65.7633333,-23.275,,,Colaptes,rupicola,168
KU,96938,Male,Unknown,2005,11,11,-65.2183333,-23.9383333,,,Picumnus,cirratus,11
KU,97410,Male,Unknown,2006,4,16,107.1595,28.226,,,Dendrocopos,canicapillus,31.7
KU,97411,Male,Unknown,2006,4,18,107.1595,28.226,,,Picumnus,innominatus,12.4
KU,98661,Male,Unknown,2006,10,14,122.182,10.812,,,Dryocopus,javensis,24
KU,99678,Male,Unknown,2007,4,11,107.8818,25.48465,,,Picumnus,innominatus,10.6
KU,99966,Male,Unknown,2007,4,11,107.8818,25.48465,,,Picumnus,innominatus,10.2
KU,109293,Male,Unknown,2004,2,10,-89.4052,14.4097167,,,Melanerpes,aurifrons,96
KU,109512,Male,Unknown,2004,2,27,-88.8871667,14.14025,,,Melanerpes,formicivorus,81
KU,109652,Male,Unknown,2004,4,3,88.000000051,13.00000002,,,Melanerpes,aurifrons,70
KU,109683,Male,Unknown,2004,4,4,88.000000051,13.00000002,,,Melanerpes,aurifrons,89.6
KU,111709,Male,Unknown,2001,4,10,-114.8339833,29.7028,,,Picoides,scalaris,40.5
KU,111742,Male,Unknown,2001,4,26,-109.8656333,23.5588667,,,Melanerpes,formicivorus,72
KU,112280,Male,Unknown,1993,3,2,97.6232833,17.1519167,,,Melanerpes,formicivorus,78
KU,112283,Male,Unknown,1993,12,13,-96.8532833,17.5743,,,Melanerpes,hypopolius,41.5
KU,112438,Male,Unknown,2008,7,19,122.02725,7.0184833,,,Dryocopus,javensis,274
KU,112568,Male,Unknown,2008,7,1,122.786,14.039,,,Dendrocopos,maculatus,22
KU,113519,Male,Unknown,2009,4,16,-72.876,-12.7001667,,,Picumnus,dorbignyanus,10.5
KU,113520,Male,Unknown,2009,4,13,-72.876,-12.7001667,,,Picumnus,dorbignyanus,13
KU,113620,Male,Unknown,2009,4,11,-73.0878333,-12.5655,,,Picumnus,aurifrons,9.5
KU,114569,Male,Unknown,2009,6,22,121.5148667,15.6436167,,,Chrysocolaptes,lucidus,112
KU,114672,Male,Unknown,2009,6,18,121.5073333,15.6536667,,,Chrysocolaptes,lucidus,130
KU,114673,Male,Unknown,2009,6,16,121.5073333,15.6536667,,,Chrysocolaptes,lucidus,120
KU,115264,Male,Unknown,2009,5,22,-12.1766667,9.675,,,Dendropicos,fuscescens,19.2
KU,115267,Male,Unknown,2009,5,22,-12.1766667,9.675,,,Dendropicos,obsoletus,14.4
KU,115277,Male,Unknown,2009,5,16,-12.1766667,9.675,,,Campethera,nivosa,41
KU,115543,Male,Unknown,2009,10,12,-69.28,-14.49,,,Veniliornis,nigriceps,44
KU,115982,Male,Unknown,2010,6,3,-103.0914167,37.1402,,,Melanerpes,lewis,110.8
KU,116643,Male,Unknown,2009,7,23,123.18858,10.67433,,,Dryocopus,javensis,248
KU,116757,Male,Unknown,2010,4,13,107.0625,11.3808833,,,Blythipicus,pyrrhotis,124
KU,116787,Male,Unknown,2010,4,24,106.98775,11.2649333,,,Picus,vittatus,138
KU,117232,Male,Unknown,2010,9,24,-102.7465,37.0106667,,,Picoides,scalaris,38
KU,117513,Male,Unknown,2011,1,4,-95.206,39.032,,,Colaptes,auratus,148
KU,119350,Male,Unknown,2011,6,26,120.894,18.449,,,Mulleripicus,funebris,160.1
KU,120495,Male,Unknown,2012,3,21,104.255,21.949,,,Sasia,ochracea,8.4
KU,120642,Male,Unknown,2012,4,8,104.261,21.968,,,Sasia,ochracea,10
KU,121881,Male,Unknown,2012,6,6,125.665,9.079,,,Chrysocolaptes,lucidus,105.3
KU,121915,Male,Unknown,2012,6,30,125.025,8.695,,,Chrysocolaptes,lucidus,103
KU,123112,Male,Unknown,2012,7,8,125.029,8.869,,,Chrysocolaptes,lucidus,133.6
KU,132134,Male,Unknown,2016,4,9,-94.0847,38.1161,,,Picoides,pubescens,27.5
KU,131210,Male,Unknown,2013,5,23,-120.397,35.26,,,Picoides,nuttallii,35
KU,125790,Male,Unknown,2009,4,7,-73.0878333,-12.5655,,,Picumnus,aurifrons,8.5
KU,127613,Male,Unknown,2007,7,3,-89.8033,13.8769,,,Colaptes,rubiginosus,72
KU,128761,Male,Unknown,2012,6,12,-109.759,32.564,,,Picoides,scalaris,34
KU,128764,Male,Unknown,2012,6,12,-109.759,32.564,,,Picoides,scalaris,34
KU,128771,Male,Unknown,2012,6,8,-110.734,32.419,,,Colaptes,auratus,136
KU,128959,Male,Unknown,2013,4,4,107.824,15.11,,,Dendrocopos,atratus,41.5
KU,132188,Male,Unknown,2016,7,28,-95.2399,40.0575,,,Melanerpes,erythrocephalus,69.5
KU,131212,Male,Unknown,2013,5,23,-120.397,35.26,,,Picoides,nuttallii,33
KU,29423,Male,Unknown,1950,4,8,-145.6333333,65.5,,,Melanerpes,formicivorus,64.8
KU,131688,Male,Unknown,2009,4,10,-73.0878333,-12.5655,,,Veniliornis,affinis,35.5
KU,32700,Male,Unknown,1955,6,27,-156.8166667,71.2833333,,,Picoides,villosus,49
KU,32702,Male,Unknown,1955,6,25,-156.8166667,71.2833333,,,Picoides,arizonae,46.2
KU,34623,Male,Unknown,1953,7,12,-156.8166667,71.2833333,,,Picoides,scalaris,35
KU,37768,Male,Unknown,1953,7,15,-134.6333333,56.3833333,,,Melanerpes,formicivorus,64
KU,37837,Male,Unknown,1959,7,16,-104.6833333,27.9333333,,,Colaptes,auratus,125
KU,37851,Male,Unknown,1959,7,17,-104.6833333,27.9333333,,,Melanerpes,formicivorus,61.3
KU,37862,Male,Unknown,1959,7,16,-104.6833333,27.9333333,,,Picoides,stricklandi,39.9
KU,38106,Male,Unknown,1959,11,29,-104.6833333,27.9333333,,,Melanerpes,aurifrons,80.1
KU,38108,Male,Unknown,1959,11,29,-104.6833333,27.9333333,,,Dryocopus,lineatus,178.2
KU,40036,Male,Unknown,1962,4,15,-150,61.25,,,Picoides,stricklandi,45.4
KU,40037,Male,Unknown,1962,4,11,-150,61.25,,,Colaptes,auricularis,82
KU,84182,Male,Unknown,1989,7,8,-69.05,12.55,,,Veniliornis,affinis,38
KU,86090,Male,Unknown,1990,2,25,-69.05,12.55,,,Campephilus,rubricollis,225
KU,86420,Male,Unknown,1994,11,12,-60.7666667,5.4666667,,,Picumnus,exilis,9
KU,86421,Male,Unknown,1994,11,5,-60.7666667,5.4666667,,,Celeus,elegans,160
KU,86924,Male,Unknown,1995,4,14,-82.2,8.6666667,,,Melanerpes,formicivorus,85
KU,86927,Male,Unknown,1995,4,13,-82.25,8.7333333,,,Picoides,fumigatus,31
KU,87906,Male,Unknown,1995,11,10,-55.7333333,-26.1166667,,,Veniliornis,spilogaster,41
KU,88021,Male,Unknown,1995,10,27,-59.8333333,-20.6666667,,,Picumnus,cirratus,6.5
KU,88030,Male,Unknown,1995,10,28,-59.8333333,-20.6666667,,,Picoides,mixtus,27.5
KU,88763,Male,Unknown,1997,3,23,-58.5166667,4.2833333,,,Celeus,torquatus,140
