Institution,CatalogNo,Sex,Age,Year,Month,Day,Long,Lat,Genus,Species,Mass.g,bcpic,bio10,bio11,bio12,bio16,bio17,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5
MVZ,40896,Female,Adult,1920,8,20,-122.0691039,41.5779164,Picoides,villosus,58,5,144,-14,570,246,47,1.15314070587649,-0.349092485873295,-0.594447882621761,0.337140285882572,-0.0538231819447015
MVZ,42098,Female,Adult,1921,5,29,-127.6667,55.25,Picoides,villosus,74.5,5,147,-68,568,186,80,1.41118751070068,-0.716109677459113,-0.00877451198615206,0.0800691465192369,-0.0692936842800018
MVZ,62920,Female,Adult,1933,6,4,-123.7317033,40.8748542,Picoides,villosus,60,5,141,24,1513,755,51,-1.01091899924435,-1.03571589008292,-1.68904104016635,-0.423888929483805,-0.0232127265534356
MVZ,67831,Female,Adult,1935,7,13,-123.625462,41.9955479,Picoides,villosus,65.7,5,156,25,1281,656,51,-0.681278966053254,-0.610163860933096,-1.33593567883536,-0.328377962816054,0.0415152296459286
MVZ,73504,Female,Adult,1938,6,11,-122.9107,44.2042,Picoides,villosus,65.7,5,173,45,1448,676,99,-1.29947933642599,-0.575118701584409,-0.867884010335543,-0.240714422061691,0.0303263099709641
MVZ,73508,Female,Adult,1938,6,14,-122.9107,44.2042,Picoides,villosus,62.2,5,173,45,1448,676,99,-1.29947933642599,-0.575118701584409,-0.867884010335543,-0.240714422061691,0.0303263099709641
MVZ,73515,Female,Adult,1938,6,28,-121.6154,44.0583,Picoides,villosus,66,5,106,-41,1272,596,106,-0.117291120190572,-1.98139261688705,-1.09630122054626,-0.0631946972746479,0.0736726908778954
MVZ,83415,Female,Adult,1941,5,18,-123.9603,45.7833,Picoides,villosus,67.4,5,142,61,2285,1042,164,-3.03216344192773,-1.97546803504968,-1.42562703267276,-0.410890814851787,0.0295632699075731
MVZ,83424,Female,Adult,1941,5,30,-122.8741356,46.0084949,Picoides,villosus,65.5,5,178,47,1270,577,109,-1.00740165075717,-0.378755435894795,-0.547912260515566,-0.0190715380564462,0.0502685221418056
MVZ,83425,Female,Adult,1941,5,31,-122.8741356,46.0084949,Picoides,villosus,65.2,5,178,47,1270,577,109,-1.00740165075717,-0.378755435894795,-0.547912260515566,-0.0190715380564462,0.0502685221418056
